title_a,title_b,label
coconut water organic 350 ml,coconut water 350ml,1
olive oil extra virgin 500 ml,extra virgin olive oil 500ml,1
cola zero 330 ml,pepsi max 330 ml,0
jasmine green tea 20 bags,green tea jasmine 20 bags,1
whole milk 1 liter,skimmed milk 1 liter,0
dark chocolate 70 percent 100 g,70 percent dark chocolate 100g,1
ground coffee espresso 250 g,espresso ground coffee 250g,1
orange juice 1 liter,apple juice 1 liter,0
basmati rice 1 kg,rice basmati 1kg,1
salted butter 250 g,unsalted butter 250g,0
almond milk 1 liter,almond drink 1 liter,1
spaghetti 500 g,penne pasta 500g,0
