title,category,extracted_value,extracted_unit,weight_hint,is_multipack_candidate
President's Choice Natural Spring Water | 18 l,Still Bottled Water,18.0,l,False,False
"UPBEAT Juicy Protein Water 12x 500ml | 12g Protein, Zero Sugar, Energising B Vitamins | Summer Lemon",Functional Bottled Water,500.0,ml,True,True
"Iced Keto Coffee (0g Added Sugar, 10g Protein, 80 Calories) [ Mocha Latte] 12 Fl Oz, 1 Pack | Iced Coffee, Protein Coffee, Coffee Drinks, Smart Coffee - Soy Free Gluten Free",RTD Coffee,12.0,fl oz,True,False
"ROAR Organic Cucumber Watermelon Electrolyte Infusion, 532mL, 25 Cal, Non-GMO, Vegan, Less Than 5g Cane Sugar",Liquid Concentrates,532.0,ml,True,False
"Treo Fruit & Birch Water Drink, Kiwi Watermelon, USDA Organic, Non-GMO Project Verified, Vegan, Gluten- Free, 10 Calories & 1g of Sugar Per Serving, Good Source of Vitamin C, 16 fl oz, Pack of 12",Functional Bottled Water,16.0,fl oz,True,False
"B-tea Kombucha Raw Organic Tea, Only 2g of Sugar, Probiotics and Prebiotic, Promotes Healthy Weight Loss, Kosher, 8 oz., 8 Count",Carbonated RTD Tea and Kombucha,8.0,oz,True,False
"Eclipse Vanilla Syrup,1 LB 5 OZ (595g)",Liquid Concentrates,5.0,oz,True,False
"Treo Fruit & Birch Water Drink, Raspberry Lemonade, USDA Organic, Non-GMO Project Verified, Vegan, Gluten- Free, 10 Calories & 1g of Sugar Per Serving, Good Source of Vitamin C, 16 fl oz, Pack of 12",Functional Bottled Water,16.0,fl oz,True,False
"B-tea Kombucha Raw Organic Tea, Only 2 g of Sugar, Probiotics and Prebiotic, Promotes Healthy Weight Loss, Kosher, (B-tea Serenity Green Tea Chamomile),8 oz., 12 Piece",Carbonated RTD Tea and Kombucha,8.0,oz,True,False
Dr. goerg premium Organic Coconut Flower Syrup 350 g / 250 ml,Liquid Concentrates,250.0,ml,True,False
"scitec nutrition Protein Smoothie from natural fruit juice, no added sugar, 26g protein pro Drink, Low Fat, perfect for the diet, 8 x 330ml",Not from Concentrate 100% Juice,330.0,ml,True,True
life water 030 lt sport cover,Still Bottled Water,30.0,lt,False,False
Body Attack Protein Coffee 250 ml - coffee latte - Senza Grassi - 25 g Protein,RTD Coffee,250.0,ml,True,False
life water 033 lt,Still Bottled Water,33.0,lt,False,False
"natur green syrup organic coconut, 360 ml / 495g",Liquid Concentrates,360.0,ml,True,False
